Sample_id,Na,Mg,Al,P,S,Ca,Fe,Mn,Deployment
ICP_blank,0.0067,0.0015,0,0,0,0,0.004200000000000001,0,1
ICP_blank,0.0075,0,0,0.0038,0,0,0.0035,2e-4,1
ICP_blank,0.0115,0,0,0.0053,4,0,0.0031,2e-4,1
ICP_blank,0.0134,0,0,0.006,4.6,0,0.004,3e-4,1
ICP_blank,0.013099999999999999,0,0,0.0063,0,0,0.0048,3e-4,1
ICP_blank,0.048799999999999996,0.004900000000000001,0.0043,0.0044,1.7,0.0285,0.0046,0,2
ICP_blank,0.0592,0.0033,0.004900000000000001,0.0101,2.9,0.0245,0.0116,1e-4,2
ICP_blank,0.022699999999999998,0,0,0.0060999999999999995,3.5,0.0096,0.0132,2e-4,2
ICP_blank,0.0017,0,0,0.0055,3.1,0,0.011300000000000001,2e-4,2
ICP_blank,0.0028,0,0,0.0054,3.3,0,0.0128,2e-4,2
ICP_blank,0.0043,0.0033,0,0.0054,3.2,0.0064,0.013699999999999999,2e-4,2
ICP_blank,0.0094,0.0017,0,0,0,0.008,0.0047,1e-4,3
ICP_blank,0.0213,0,0,0.0023,0,0,0.0078,1e-4,3
ICP_blank,0.0126,0,0.0015,0.0038,0,0,0.009,3e-4,3
ICP_blank,0.0101,0,0,0.004900000000000001,1.6,0,0.0106,2e-4,3
ICP_blank,0.011300000000000001,0,0.0018,0.0062,1.7,0,0.0127,2e-4,3
ICP_blank,0.0026,0,0.0019,0.0024,0,0,0.0047,0,4
ICP_blank,0,0,0.0022,0.0028,0,0,0.0054,0,4
ICP_blank,0.0021000000000000003,0,0.0033,0.0040999999999999995,1.8,0,0.0064,0,4
ICP_blank,0.0027,0,0.0031,0.0052,2.1,0,0.0077,0,4
