Durham_id,Sample_id,Well_id,Extraction,Replicate,Total_resin_g,Initial_g,After_E1g,Na,Mg,Al,Si,P,S,Cl,K,Ca,Ti,51V (STDR),52Cr (STDR),Fe,Mn,59Co (STDR),60Ni (STDR),65Cu (STDR),66Zn (STDR),75As (STDR),78Se (STDR),88Sr (STDR),95Mo (STDR),107Ag (STDR),111Cd (STDR),120Sn (STDR),138Ba (STDR),208Pb (STDR),238U (STDR)
Amanda blank,ICP_blank,,,,,,,6.7,1.5,-5.5,174.1,0.6,0.0,0.0,0.0,-39.4,0.1,0.0,0.7,4.2,0.0,0.0,-0.4,0.0,0.2,0.0,0.9,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0
Amanda 1,7,42_2,1,1,71,81.8,81.8,128.2,23.8,29.8,316.6,6.3,5.2,624.6,"545,744.3",161.3,0.5,6.5,1.1,28.5,11.9,0.3,0.0,0.4,2.4,1.4,0.0,0.7,0.0,1.0,0.0,0.2,0.4,0.3,0.0
Amanda 2,8,42_2,2,1,71,81.8,81.8,63.2,4.4,16.8,0.0,5.5,5.2,707.4,"560,567.6",0.0,0.4,6.3,1.0,26.6,1.9,0.3,-0.2,0.3,1.8,1.6,14.3,0.2,43.1,0.9,0.0,0.3,0.3,0.3,0.0
Amanda 3,9,42_2,1,2,71,79.6,89.2,153.0,29.1,40.1,374.4,8.7,5.9,706.4,"570,473.0",198.4,0.5,5.9,1.3,33.7,13.9,0.3,-0.1,0.4,2.6,1.6,15.5,0.8,47.3,1.1,0.0,0.3,0.6,0.3,0.0
Amanda 4,10,42_2,2,2,71,79.6,89.2,48.4,3.2,5.0,0.0,6.1,5.1,695.2,"584,063.7",5.4,0.3,5.3,1.1,40.9,2.0,0.0,-0.1,0.2,3.4,1.4,14.6,0.2,44.4,2.3,0.0,0.3,0.2,0.3,0.0
Amanda 5,11,42_2,1,3,71,82.5,96,132.4,26.0,45.5,403.3,8.6,5.6,647.9,"582,481.2",173.6,1.1,5.1,1.2,49.6,13.3,0.3,-0.2,0.4,2.3,1.4,15.6,0.7,46.8,1.3,0.0,0.4,0.5,0.3,0.0
Amanda 6,12,42_2,2,3,71,82.5,96,62.2,4.2,14.1,0.0,7.5,0.0,733.6,"574,470.0",9.2,0.4,5.5,1.2,47.1,2.4,0.0,0.2,0.3,4.9,1.6,18.0,0.2,58.8,1.2,0.0,0.3,0.2,0.4,0.0
Amanda 7,13,42_3,1,1,71.9,104.6,104.6,79.8,10.4,0.0,423.4,7.7,0.0,634.8,"572,345.6",157.1,0.5,4.8,1.0,52.7,4.3,0.0,-0.2,0.3,2.7,1.4,16.2,0.3,50.9,0.2,0.0,0.2,0.4,0.2,0.0
Amanda 8,14,42_3,2,1,71.9,104.6,104.6,66.4,2.3,8.2,415.7,6.9,5.3,681.2,"566,273.8",13.9,0.3,5.0,1.1,0.0,1.3,0.2,-0.1,0.2,1.1,1.5,17.5,0.1,59.5,0.1,0.0,0.2,0.2,0.3,0.0
Amanda 9,15,42_3,1,2,71.9,82.4,117.9,86.0,11.8,21.3,0.0,9.6,5.9,678.7,"568,477.3",174.2,0.5,4.9,1.3,48.4,4.7,0.0,-0.1,0.4,2.9,1.5,18.2,0.3,58.7,0.2,0.0,0.2,0.4,0.3,0.0
Amanda 10,16,42_3,2,2,71.9,82.4,117.9,55.0,1.9,0.0,434.6,8.7,5.8,680.3,"565,006.9",4.9,0.4,5.0,1.0,42.5,1.2,0.1,-0.3,0.2,2.5,1.5,19.0,0.1,59.4,0.1,0.0,0.2,0.2,0.2,0.0
Amanda blank,ICP_blank,,,,,,,7.5,-0.7,-6.2,0.0,3.8,0.0,4.8,0.0,-57.2,0.2,0.6,0.5,3.5,0.2,0.3,-0.6,0.1,0.2,0.2,4.9,0.0,7.9,0.0,0.0,0.2,0.0,0.0,0.0
Amanda 13,17,42_4,1,1,74.7,79.6,89.7,72.4,8.7,0.2,454.8,8.0,6.2,669.5,"575,563.2",190.3,0.1,4.4,0.8,17.0,1.2,0.0,-0.4,0.6,1.1,1.4,17.3,0.2,53.5,0.0,0.0,0.2,0.3,0.4,0.0
Amanda 14,18,42_4,2,1,74.7,79.6,89.7,38.5,2.0,7.3,460.6,7.8,5.9,631.8,"572,938.5",-3.5,0.4,4.5,1.2,38.7,0.6,0.0,-0.3,0.4,1.4,1.4,18.8,0.0,55.8,0.0,0.0,0.2,0.1,0.2,0.0
Amanda 15,19,42_4,1,2,74.7,79.4,92.8,71.3,8.9,-0.5,456.0,7.5,5.9,654.4,"579,459.3",182.9,0.4,4.2,0.9,16.2,1.2,0.0,-0.2,0.4,1.4,1.3,16.9,0.2,48.3,1.1,0.0,0.2,0.3,0.3,0.0
Amanda 16,20,42_4,2,2,74.7,79.4,92.8,37.6,1.2,-4.1,467.5,7.4,6.3,686.6,"574,241.3",-6.1,0.2,4.6,0.8,0.0,0.6,0.0,-0.4,0.2,0.8,1.5,19.9,0.0,59.3,0.2,0.0,0.2,0.1,0.3,0.0
Amanda 17,21,42_4,1,3,74.7,79.6,89.9,69.4,9.3,0.5,464.9,7.8,6.5,679.4,"572,186.5",194.2,0.1,4.6,1.0,15.1,1.2,0.0,-0.1,0.3,1.3,1.5,20.3,0.2,60.5,0.1,0.0,0.3,0.3,0.3,0.0
Amanda 18,22,42_4,2,3,74.7,79.6,89.9,37.5,1.3,-3.0,486.9,8.4,6.5,692.1,"578,717.3",1.2,0.2,4.6,0.9,12.4,0.7,0.0,-0.1,0.2,0.9,1.5,21.5,0.0,66.1,0.1,0.0,0.1,0.1,0.3,0.0
Amanda 19,23,52_2,1,1,74.4,79.9,79.9,157.3,66.5,0.0,522.1,21.9,7.6,714.0,"581,819.1",251.5,0.6,4.8,0.9,39.1,55.6,0.1,0.1,0.6,1.0,1.6,22.4,1.2,68.4,0.0,0.0,0.2,2.6,2.0,0.0
Amanda 20,24,52_2,2,1,74.4,79.9,79.9,61.8,8.3,26.0,0.0,10.4,6.9,683.8,"576,664.8",8.3,0.3,4.6,0.8,18.5,7.8,0.0,0.0,0.3,1.3,1.6,22.5,0.3,67.2,0.0,0.0,0.2,1.0,0.6,0.0
Amanda 25,25,52_3,1,1,69.7,82,100,121.0,34.0,73.0,507.2,14.5,7.1,656.9,"574,391.7",179.2,0.4,4.4,0.9,23.9,13.7,0.1,-0.1,0.4,1.3,1.5,21.3,0.5,64.8,0.0,0.0,0.2,0.9,0.3,0.0
Amanda 26,26,52_3,2,1,69.7,82,100,66.7,5.0,11.4,549.6,10.2,7.3,689.8,"579,542.8",-1.9,0.3,4.5,1.0,21.5,2.5,0.0,-0.1,0.6,1.5,1.5,23.0,0.2,68.2,0.0,0.0,0.2,0.5,0.4,0.0
Amanda blank,ICP_blank,,,,,,,11.5,-0.6,-6.2,388.2,5.3,4.0,5.2,387.9,-64.4,0.2,0.6,0.5,3.1,0.2,0.0,-0.7,0.0,0.5,0.3,7.2,0.0,11.2,0.0,0.0,0.1,0.0,0.0,0.0
Amanda 27,27,52_3,1,2,69.7,79.7,103.8,136.0,39.2,0.0,548.8,13.7,7.7,720.0,"584,389.5",201.5,0.5,4.3,1.8,53.6,15.5,0.1,0.4,0.5,3.0,1.5,21.9,0.5,63.9,0.1,0.0,0.3,1.1,0.4,0.0
Amanda 28,28,52_3,2,2,69.7,79.7,103.8,67.5,5.7,14.1,547.5,9.4,6.8,700.9,"593,505.5",-2.1,0.2,4.2,1.0,0.0,2.8,0.0,-0.3,0.6,1.5,1.4,20.8,0.2,57.9,1.0,0.0,0.2,0.5,0.4,0.0
Amanda 29,29,52_3,1,3,69.7,79.6,91.2,126.6,33.6,77.2,0.0,11.5,7.5,667.8,"587,061.3",176.5,0.4,4.2,0.9,29.1,13.4,0.1,-0.1,0.8,1.9,1.4,22.0,0.5,64.7,0.2,0.0,0.2,1.0,0.5,0.0
Amanda 30,30,52_3,2,3,69.7,79.6,91.2,55.9,4.3,8.1,566.3,10.6,7.6,712.2,"590,580.6",-10.0,0.3,4.4,1.0,17.9,2.2,0.0,-0.2,0.4,1.2,1.5,23.9,0.1,69.7,0.1,0.0,0.2,0.4,0.3,0.0
Amanda 31,31,52_4,1,1,79,82.3,82.3,456.8,102.6,0.0,567.7,10.9,9.4,626.1,"585,896.2",419.5,0.6,4.0,1.2,20.6,11.3,0.7,0.2,0.3,2.8,1.4,22.6,2.8,63.8,0.3,0.0,0.2,3.6,0.3,0.0
Amanda 32,32,52_4,2,1,79,82.3,82.3,37.5,1.8,-1.7,560.1,9.9,7.4,604.6,"578,535.2",-19.6,0.2,3.8,0.9,21.5,0.9,0.4,-0.2,0.1,0.7,1.4,22.2,0.1,61.9,0.1,0.0,0.1,0.1,0.2,0.0
Amanda 37,33,86_2,1,1,81.8,74,74,71.0,15.0,24.6,589.7,19.5,7.5,696.6,"579,578.8",159.8,0.6,4.3,0.8,85.1,3.2,0.5,-0.1,0.2,1.0,1.5,24.6,0.2,69.3,0.1,0.0,0.2,0.4,0.4,0.0
Amanda 38,34,86_2,2,1,81.8,74,74,96.7,14.3,0.0,575.0,9.6,8.0,727.5,"586,683.1",41.4,0.2,4.4,1.0,0.0,2.3,0.1,-0.2,0.1,1.9,1.6,26.1,0.7,76.6,0.0,0.0,0.2,1.5,0.3,0.0
Amanda 43,35,86_3,1,1,63.7,82,105.3,106.3,28.1,97.8,571.5,10.5,7.9,612.6,"580,818.5",110.7,0.7,3.9,0.9,43.6,5.6,0.1,-0.2,0.2,2.0,1.4,24.1,0.6,67.4,0.0,0.0,0.2,0.9,0.2,0.0
Amanda 44,36,86_3,2,1,63.7,82,105.3,53.0,4.2,0.0,581.0,10.2,8.0,630.3,"584,601.5",-18.0,1.0,3.9,0.9,14.9,1.5,0.3,0.0,0.2,2.7,1.4,24.2,0.2,66.9,0.0,0.0,0.3,0.4,0.2,0.0
Amanda blank,ICP_blank,,,,,,,13.4,-0.8,-6.6,448.4,6.0,4.6,5.3,498.9,-70.2,0.2,0.6,0.5,4.0,0.3,0.0,-0.7,0.0,0.2,0.2,10.0,0.0,14.8,0.0,0.0,0.1,0.0,0.0,0.0
Amanda 45,37,86_3,1,2,63.7,79.6,96.6,149.6,39.0,0.0,571.1,9.9,7.5,672.3,"598,391.0",161.8,0.4,3.9,0.9,16.6,7.6,0.1,-0.1,0.4,2.3,1.2,21.2,0.9,58.0,1.1,0.0,0.3,1.4,0.3,0.0
