Durham_id,Sample_id,Well_id,Extraction,Replicate,Total_resin_g,Initial_g,After_E1g,7Li (STDR),Na,Mg,Al,29Si (STDR),P,S,35Cl (STDR),39K (STDR),Ca,48Ti (STDR),51V (STDR),52Cr (STDR),Fe,Mn,59Co (STDR),60Ni (STDR),65Cu (STDR),66Zn (STDR),75As (STDR),78Se (STDR),88Sr (STDR),95Mo (STDR),107Ag (STDR),111Cd (STDR),120Sn (STDR),138Ba (STDR),208Pb (STDR),238U (STDR)
Amanda blank,ICP_blank,,,,,,,0.1,9.4,1.7,0.7,42.5,1.1,0.8,-0.1,4.5,8.0,-0.1,0.0,0.8,4.7,0.1,0.0,0.4,0.0,0.2,0.0,0.3,0.0,0.0,0.1,0.0,0.2,0.0,0.0,0.0
1,1,99_99,1,1,1.00,,,0.2,"270,242.3",2.6,6.1,86.6,3.1,1.8,482.6,"2,776.4",10.4,0.1,2.5,1.4,11.6,0.1,0.0,0.5,0.2,1.0,0.5,1.2,0.1,0.1,0.1,0.0,0.2,0.0,0.1,0.0
2,2,99_99,2,1,1.00,,,0.2,"282,506.1",2.7,5.6,84.6,3.1,1.8,508.8,"1,469.2",10.5,0.1,2.4,1.0,10.9,0.1,0.0,0.4,0.1,0.6,0.5,1.6,0.1,0.1,0.1,0.0,0.1,0.0,0.1,0.0
3,3,99_99,1,2,1.00,,,0.2,"273,471.1",2.3,12.9,87.2,3.2,1.9,497.7,"2,925.0",16.9,0.3,2.2,1.3,14.0,0.2,0.0,0.5,0.2,1.9,0.5,1.8,0.1,0.1,0.1,0.0,0.3,0.0,0.1,0.0
4,4,99_99,2,2,1.00,,,0.3,"289,267.2",1.9,5.7,85.2,2.3,1.8,531.5,"1,551.1",6.8,0.2,2.2,1.2,9.7,0.1,0.0,0.4,0.0,0.4,0.5,1.9,0.1,0.1,0.1,0.0,0.2,0.0,0.1,0.0
5,5,99_99,1,3,1.00,,,0.3,"327,072.1",2.4,6.4,82.9,2.4,2.0,612.3,"3,595.1",33.8,0.3,2.4,1.1,8.9,0.1,0.0,0.4,0.0,5.8,0.5,2.0,0.1,0.1,0.0,0.0,0.2,0.1,0.1,0.0
6,6,99_99,2,3,1.00,,,0.3,"267,805.2",1.6,1.7,85.1,2.9,1.9,493.5,"1,476.2",4.4,0.1,1.8,1.0,237.0,1.0,0.0,0.5,0.0,0.1,0.4,2.1,0.0,0.1,0.2,0.0,0.1,0.1,0.0,0.0
7,7,42_2,1,1,92.00,,,0.4,791.6,8.0,49.9,81.5,5.1,2.0,349.7,"315,774.9",76.1,0.2,1.2,1.1,44.5,10.2,0.0,0.5,0.1,2.1,0.3,5.6,0.1,0.5,0.5,0.0,0.2,0.5,0.3,0.0
8,8,42_2,2,1,92.00,,,0.4,234.1,1.4,11.7,81.2,4.3,1.9,400.1,"304,934.4",27.0,0.1,1.3,1.3,18.2,1.4,0.0,0.6,0.0,3.1,0.4,18.8,0.0,3.6,0.4,0.0,0.2,0.2,0.2,0.0
9,9,42_2,1,2,92.00,,,0.5,221.8,5.2,35.9,88.2,5.2,2.1,371.3,"302,811.3",43.5,0.3,1.0,1.1,43.2,6.4,0.0,0.4,0.0,0.5,0.3,28.3,0.1,8.2,0.5,0.0,0.2,0.3,0.2,0.0
10,10,42_2,2,2,92.00,,,0.4,145.9,1.6,8.2,93.4,4.5,2.2,437.3,"297,169.6",29.5,0.3,1.1,1.1,19.1,0.9,0.0,0.5,0.2,2.4,0.4,35.2,0.1,13.4,0.4,0.0,0.2,0.2,0.2,0.0
Blank,ICP_blank,,,,,,,0.2,21.3,0.7,0.9,52.7,2.3,0.9,0.4,73.1,3.0,0.2,0.0,0.8,7.8,0.1,0.0,0.4,0.1,0.3,0.0,8.3,0.0,1.0,0.2,0.0,0.2,0.0,0.0,0.0
11,11,42_3,1,1,97.45,,,0.5,161.0,7.2,73.1,94.6,4.5,2.2,360.1,"289,273.8",35.7,0.4,0.9,1.2,18.1,7.4,0.1,0.6,0.1,1.2,0.3,22.8,0.1,5.0,0.2,0.0,0.2,0.4,0.2,0.0
12,12,42_3,2,1,97.45,,,0.3,50.1,1.0,15.0,92.0,4.3,1.9,420.6,"278,220.1",10.1,-0.1,1.1,1.2,16.2,1.0,0.0,0.5,0.1,0.9,0.4,32.6,0.0,12.0,0.3,0.0,0.2,0.2,0.1,0.0
13,13,42_3,1,2,97.45,,,0.6,167.4,9.1,98.3,101.8,5.4,2.5,375.4,"279,772.4",46.7,0.4,0.9,1.3,20.2,10.1,0.0,0.6,0.2,1.3,0.3,34.2,0.1,15.7,0.1,0.0,0.3,0.5,0.1,0.0
14,14,42_3,2,2,97.45,,,0.4,63.2,1.9,21.5,103.6,4.5,2.2,416.2,"278,679.5",17.8,0.1,1.0,1.4,27.4,1.6,0.0,0.6,0.2,2.2,0.4,35.6,0.1,18.8,0.1,0.0,0.1,0.3,0.2,0.0
